x,y
-2.7038256174185769,-0.88191517809216036
-0.63474640806717786,-0.66575837916425784
-0.27873135478988709,-0.79905931645115935
-0.52761944283895745,-0.67728263007155454
-0.97702660658955565,-0.42648354656672999
-0.19323196177317281,-0.77475531680163001
-2.646653275838303,-0.90724203681359317
-1.6151043358902593,-0.88838325178625799
-2.9994081073232595,-0.82965426752759686
-2.0116541656220979,-1.3614004048843067
-0.82479398365274648,-0.64845921031756648
-1.3311574577937806,-0.37640312661345271
-3.0336908986245041,-0.78602388784764843
-2.7445384540664683,-0.88202297758253123
-3.0937718605443276,-0.78730037153454346
-0.25052852549746807,-0.75740772032737569
-2.1101133177199811,-1.3376818054359199
-2.7844544573234375,-0.84101696222533284
-2.2912008843737679,-1.1511785501518239
-2.9110092440577473,-0.84241192359721806
-0.40538090592083875,-0.73044737178779562
-1.7465825720111898,-1.0608649642357679
-1.3888688388340993,-0.47686243680936946
-1.0806513093383663,-0.24406725278458549
-0.95148346979130838,-0.47967862778202613
-1.3946219109557652,-0.52900004844665838
-1.6680002982581503,-0.94920111557056197
-0.2283659038642499,-0.78761595483290703
-0.44348590839725532,-0.73585978604519842
-1.3861816936548501,-0.49787404446141215
-2.09980664618563,-1.3438451950394574
-2.5670486281212268,-0.95714442949971423
-2.5706869861412058,-0.93152142558243667
-2.8813426585019637,-0.8893724723683647
-1.827380966185447,-1.1792409422864505
-3.052115788745541,-0.77143214574820307
-1.4553756742338662,-0.65373048450209237
-2.6823595471482604,-0.90476784570254987
-1.2056192077301398,-0.16122506819077306
-1.2053202850362266,-0.15280706090266608
-0.11524256675239956,-0.82421778640282717
-1.8010534954369493,-1.1429399111523419
-2.2108767524694088,-1.2506490484147859
-0.58178772263779832,-0.7100224561673788
-2.1989714700603522,-1.2625724300170398
-0.85943690749051083,-0.59083148207393188
-2.8929462451562324,-0.8171264229941535
-0.83981339728504767,-0.59375454836726727
-1.9838072897893095,-1.3451891302710197
-2.2020345822042331,-1.2466741126764287
-2.1931448007994541,-1.2335367314025847
-2.8342188914548521,-0.85983110615878633
-1.8147306081034418,-1.1623205249596671
-0.55174270284181126,-0.72362235130381869
-1.5727915399300303,-0.83204273859159017
-0.98681697070544894,-0.46266218866568698
-0.87480955564248342,-0.60569873633576765
-0.41380802803951283,-0.71405836445830406
-1.7208346990404491,-0.98496412940411471
-0.52203816653092805,-0.7222505874306826
-2.8242134956740523,-0.89331580541997391
-1.0128762341292248,-0.36022805769571886
-3.1568307904134447,-0.79584287305245638
-1.9469889044262547,-1.3742179717500647
-0.95032722669568437,-0.47562870454783068
-0.87333095847899378,-0.54898694146019855
-2.2975378821736552,-1.169101713009095
-1.4135064906066406,-0.53906447559194548
-3.1260064786096491,-0.76820148283572187
-2.4212486547241108,-1.0257545191872237
-2.4282633853523672,-1.0109013725688194
-2.448384744438449,-1.0312722691124971
-0.71223943174460136,-0.648259745808062
-1.7845925481173592,-1.1153785657621655
-0.47113859175937151,-0.70901173712390653
-0.61340706288051994,-0.67593462639062218
-1.5825557680254683,-0.83841553738392338
-0.47285757712276982,-0.70006100402091698
-0.52263273011894573,-0.672017138743917
-1.6441264637269086,-0.88472442077090185
-1.1519125320186809,-0.14059300793533402
-1.6054687301703932,-0.86730341503617236
